Customer_ID,Avg_Monthly_Usage_KL,Current_Month_Usage_KL,Billing_Amount,Payment_Delay_Days,Usage_Deviation,Account_Age_Months,Payment_History_Score,Neighborhood_Avg_Usage,Seasonal_Factor,Previous_Fraud_Flags,Usage_Ratio,Billing_Per_Usage,Deviation_Ratio,Fraud_Label
CUST_008266,14.87,41.8,695.38,26,26.92,1,0.21,16.72,1.12,1,2.811029,16.635885,1.810356,1
CUST_002150,17.55,20.64,493.19,4,3.08,110,0.9,18.82,1.02,0,1.176068,23.894864,0.175499,0
CUST_004712,17.11,13.67,319.69,8,-3.44,62,0.28,17.08,0.93,0,0.798948,23.386247,-0.201052,0
CUST_001612,32.57,35.63,635.5,8,3.07,65,0.96,31.55,1.07,0,1.093951,17.836093,0.094259,0
CUST_001318,21.48,20.92,362.04,5,-0.56,191,1.0,22.78,1.08,0,0.973929,17.305927,-0.026071,0
CUST_007834,18.81,18.33,433.63,42,-0.48,233,0.07,19.21,0.94,1,0.974482,23.656847,-0.025518,1
CUST_003090,13.96,11.66,255.51,8,-2.3,236,0.82,15.27,0.8,0,0.835244,21.913379,-0.164756,0
CUST_000152,21.36,21.74,356.72,7,0.38,168,0.99,19.56,0.9,0,1.01779,16.408464,0.01779,0
CUST_007050,22.46,49.88,760.17,24,27.42,180,0.04,23.27,0.89,0,2.220837,15.239976,1.220837,1
CUST_003875,30.62,34.36,744.69,4,3.73,71,0.77,31.75,1.18,0,1.122142,21.673166,0.121816,0
CUST_000595,16.43,18.0,428.22,3,1.58,220,0.7,17.08,0.96,0,1.095557,23.79,0.096166,0
CUST_008334,33.03,13.04,226.89,32,-19.98,4,0.46,28.78,0.99,1,0.394793,17.39954,-0.604905,1
CUST_003431,18.66,16.46,408.38,7,-2.2,232,0.37,19.22,1.0,0,0.882101,24.81045,-0.117899,0
CUST_002620,18.32,21.5,431.84,4,3.18,29,0.75,17.78,1.2,0,1.173581,20.085581,0.173581,0
CUST_001029,32.22,28.16,527.32,7,-4.06,179,0.8,32.42,0.87,0,0.873991,18.725852,-0.126009,0
CUST_006198,24.46,69.68,1184.88,25,45.22,207,0.01,27.18,1.14,0,2.848733,17.004592,1.848733,1
